ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
633,4,michaelrthomson,1,Just Dont Do It,"Is a phrase someone should have said to those who proposed this premise, which of course has been done better 100 times already.Its inane teen fodder, poorly acted by low budget players, poorly written, poorly shot and fundamentally just poorly done.There are plenty of better horror movies out there to see, even if you fancy teen eye candy if that is what these teens were meant to be?.In an era where singers are auto-tuned but still deemed good by the youth of today, it is no surprise that this cast might be deemed good also, its just a pity no one has yet invented an auto-act machine, or an auto-writeascript machine.Certainly dont waste money seeing this trash in a cinema, I would guess this will be available online within a matter of days.",,,,,,,,,,,,,,,,,,,
634,4,Java_Joe,1,Stupid Concept Makes For a Stupid Movie.,"Hows this for an idea, you get a group of friends together and you play truth or dare. You know that game you played as kids, youd sit in a circle and say truth or dare"" to somebody and they had to pick one? Well this is what this movie is all about. But if you dont do the dare", or if you dont tell the truth you die. And you get a really stupid grin on your face before you do it because a demon or something invades your body and takes you over and kills you if you dont do it. Thats literally the movie. And yes,,,,,,,,,,,,,,,,,,
635,4,SmashandNasty,3,Youll never get the time you spent watching t,"There is no way to really articulate the exact place where this movie went wrong, other than to say that it did.It lacks the redeeming qualities of some of Blumhouses other outings it isnt as charming as Happy Death Day was; its not a socially aware as Get Out or the Purge franchise; it doesnt have unique techniques the original Paranormal Activity or Unfriended did. While most of those movies have things that are wrong with them as most movies do, they also had something that made them worth watching. After struggling to find its footing, Truth or Dare had little to nothing redeeming about it. What youre left with is a largely unsatisfying narrative with skewed and uncharacteristic character motivations culminating in a fairly predictable climax and then quickly falling from there to a conclusion that - while somewhat elver in its execution - made the film that much more frustrating.In short It feels a lot like any other teen slasher flick. They just put a different spin on things and",,,,,,,,,,,,,,,,,,,
636,4,stangpt-72073,7,Very interesting concept and story,Agree with the last review I read......Really Good....I do understand that horror or psychological entries reside in hades on movie review sites....Thats ok.... But I really thought this was a good movie worth watching.....The super low reviews are completely unsubstantiated.,,,,,,,,,,,,,,,,,,,
637,4,Sleepin_Dragon,7,Pretty good actually.,"Often I watch a horror, and find myself disappointed, reading the reviews I expected very little, but really enjoyed it. It lacks any true originality for me to score it higher then a 7, it feels very much influenced by the likes of Final Destination, bit all in all its very watchable. I liked the concept of a demon infiltrating a game, that was clever, and the faces of the victims when taken over were menacing, so it did have a degree of originality. The acting was great, production values were spot on, I find the negative reviews a bit unfair, and just plain wrong.Not bad at all. 7/10",,,,,,,,,,,,,,,,,,,
638,4,twmichael,1,News,I got crippling depression from the quality of this film. That is all.,,,,,,,,,,,,,,,,,,,
639,5,NarniaIsAwesome,7,Incredibles 2 is... Exciting and Acceptable.,"Incredibles 2"" was probably the most anticipated movie of the year; its hard to believe its made 14 years since the first original. So obviously everyone was more than ready for this.The film does come through when it comes to entertaining action and comedy", with Jack-Jack,,,,,,,,,,,,,,,,,,
640,5,Ajk2386,6,Definitely not as good as the first Incredibl,"Good The animation for this movie was excellent just like most other Pixar movies, it was funny especially Jack Jack and I really liked the action sequences throughout the movie. I liked that the movie showed that parenting when done right can be heroic.Bad I thought this film has quite a few problems, the biggest problem was that the ending was pretty predictable, I could see it coming. Also, there was a feminism theme with Helen which was okay but at times it seemed to shove it in my face and it got to be annoying. There seemed to be a little too much going on in the movie and a few too many characters.Im glad I saw the movie, I just dont think I would see it again anytime soon.",,,,,,,,,,,,,,,,,,,
641,5,bornhard,8,Predictable and old goods but in Fun New pack,"If you have seen lot of movies and read tons of comic books like myself it would seem predictable plus movie does have certain base plot elements similar to original. But dont run away yet because that is not fun part about the movie or what movie makers were focusing on, it was the family dynamics, role reversals and yes the much anticipated Jack Jack the Big bang in the small pack and all his wonderful powers which wreck havoc and yes make him most powerful member of the team. I cant say anything else without dropping spoilers but its a movie about a family that can be enjoyed by all families young and old together.",,,,,,,,,,,,,,,,,,,
642,5,randomStuff101,4,Worse than original. Politically correct box-,"Half way through watching this in the cinema, I thought maybe its me"". Maybe its my fault Im not into this movie. But I loved the original", so whats going on.No. The problem is this movie is a bland attempt to express messages about gender roles and current society issues. It lacks flow,,,,,,,,,,,,,,,,,,
643,5,vengeance20,8,"Not As Good As the First, But Strong Enough!","Saw the first Incredible when I was 10 back in 2004 & now 14 years on we get a sequel weve all been dying for! Im now 23 going on 24 as Im writing this & I found it to be a pretty awesome film!The action was epic! The story-line was pretty decent & the characters were pretty good too! The graphics & humourous tone also set this film up as well!Although there were things in this film which didnt seem as good or as memorable as the first. First off, the female empowering propaganda was strong smelling in this one, political correctness seems to be shoving its way down kids young throats & its not on. Also I felt the film dragged a bit & I also felt that them starting the film off from where it left off after well over a decade was a bit weird considering the large gap!But overall the film was quite enjoyable despite the negatives there! 8/10",,,,,,,,,,,,,,,,,,,
644,5,kressckerl,8,"Good action scenes, bad villain, non-solid pl","I am gonna try not to spoil too much, at least here in the start. I think this movie had a lot more potential than was included in the package. The plot was predictable, no emotion in the villain like the prequel, and the characters were bland and boring. But it wasnt all that bad, it scored a solid 8 from me after all, I liked the part with the stay-at-home dad, though it was really funny. And the action scenes were cool and entertaining.Spoiler past this point -I am bad at separating spoiler-content from non-spoiler contentAs said above, the villain is super bland and extremely predictable, and as soon as the siblings invited the Super characters, I knew something fishy was going on, thus I already had the siblings as prime suspects in my villain investigation. When Helen captures The Screenslaver""", I was honestly not sure if it was meant to try to fool the viewers into thinking it actually was The Screenslaver,,,,,,,,,,,,,,,,,,
645,5,robertolavratti,2,Hopless,"Predictable and boring storyline. Really bad movie, stupid feminist propaganda and a really pain to me to see what they did with the characters.",,,,,,,,,,,,,,,,,,,
646,5,jonathanc-20759,8,Intense seizure warning!!!!!!!!!!!!,"This movie is fantastic, loved the story and the characters. Where this movie loses points is in three separate continuous sequences of intense flashing. My sister is epileptic, and with no warnings we werent prepared for any of it. She ended up seizing after the first sequence, and we had to cover her eyes for the their two. If you or any family members are sensitive to this sort of thing, AVOID THIS MOVIE.",,,,,,,,,,,,,,,,,,,
